neighbourhood_cleansed,price
Near North Side,128.0
Near North Side,91.0
South Lawndale,138.0
East Garfield Park,471.0
Logan Square,144.0
Lincoln Park,158.0
Loop,350.0
Calumet Heights,300.0
Near North Side,125.0
West Town,149.0
Logan Square,160.0
Irving Park,30.0
Lake View,145.0
Calumet Heights,95.0
Near North Side,114.0
Near North Side,141.0
Near North Side,140.0
Lincoln Square,120.0
South Shore,36.0
Near West Side,256.0
Near West Side,109.0
Logan Square,169.0
Bridgeport,492.0
Rogers Park,77.0
Near North Side,83.0
Logan Square,80.0
Garfield Ridge,350.0
Bridgeport,99.0
Logan Square,499.0
Logan Square,1499.0
Loop,161.0
Kenwood,36.0
Bridgeport,118.0
Loop,146.0
Loop,146.0
Loop,146.0
Loop,156.0
Loop,156.0
Loop,184.0
Loop,238.0
Loop,238.0
Loop,250.0
Lower West Side,70.0
Lincoln Square,80.0
Douglas,65.0
Lower West Side,60.0
Portage Park,498.0
Lower West Side,76.0
Edgewater,45.0
Loop,134.0
Loop,134.0
Woodlawn,34.0
West Town,86.0
Avondale,222.0
Woodlawn,65.0
Woodlawn,44.0
Avondale,95.0
Uptown,120.0
Humboldt Park,207.0
Loop,406.0
Woodlawn,85.0
Edgewater,54.0
Irving Park,77.0
Edgewater,397.0
South Lawndale,123.0
Lincoln Park,263.0
Near South Side,130.0
Woodlawn,34.0
Near West Side,300.0
Near West Side,313.0
West Town,55.0
Near West Side,679.0
Edgewater,90.0
Lower West Side,81.0
West Town,79.0
Logan Square,161.0
Near West Side,81.0
Loop,176.0
Logan Square,71.0
West Ridge,100.0
Bridgeport,51.0
Near North Side,94.0
Near West Side,177.0
Near West Side,175.0
Grand Boulevard,59.0
Jefferson Park,90.0
Lincoln Square,68.0
Rogers Park,89.0
Bridgeport,67.0
North Park,330.0
Rogers Park,253.0
Bridgeport,57.0
Rogers Park,243.0
South Shore,36.0
South Shore,36.0
South Shore,36.0
Bridgeport,78.0
Avondale,125.0
Rogers Park,37.0
West Town,500.0
Irving Park,80.0
Lincoln Square,65.0
Greater Grand Crossing,245.0
Loop,119.0
West Ridge,422.0
West Garfield Park,25.0
Edgewater,175.0
North Center,89.0
Lake View,141.0
South Shore,50.0
Near West Side,155.0
New City,34.0
Logan Square,188.0
Englewood,213.0
South Lawndale,68.0
Logan Square,141.0
Lincoln Park,105.0
Washington Park,180.0
Woodlawn,41.0
Bridgeport,118.0
Humboldt Park,317.0
Irving Park,101.0
Albany Park,115.0
Avondale,84.0
North Park,107.0
West Town,137.0
West Town,130.0
Near North Side,142.0
Near North Side,149.0
Near North Side,134.0
Near North Side,84.0
Near North Side,100.0
Near North Side,108.0
Near North Side,108.0
Armour Square,386.0
Loop,217.0
Lake View,149.0
Loop,189.0
New City,34.0
Lake View,532.0
Logan Square,180.0
Edgewater,81.0
Loop,447.0
Uptown,414.0
Lincoln Park,382.0
Logan Square,10.0
Irving Park,175.0
Chatham,200.0
West Town,165.0
Near West Side,198.0
New City,36.0
Lake View,220.0
Greater Grand Crossing,270.0
Lincoln Square,114.0
Portage Park,72.0
Douglas,118.0
Near North Side,49.0
Near North Side,100.0
Loop,125.0
Bridgeport,80.0
Near North Side,165.0
Grand Boulevard,115.0
Grand Boulevard,98.0
Near West Side,85.0
Near North Side,138.0
Logan Square,315.0
Near North Side,164.0
Loop,139.0
Loop,175.0
Loop,127.0
South Lawndale,155.0
South Shore,383.0
Near North Side,95.0
Lake View,64.0
Near West Side,367.0
Lower West Side,300.0
Rogers Park,175.0
East Garfield Park,39.0
Near North Side,120.0
Edgewater,77.0
Avondale,289.0
Lincoln Park,136.0
Logan Square,189.0
North Center,149.0
West Town,215.0
Lake View,100.0
Lake View,100.0
Woodlawn,49.0
Lake View,250.0
Jefferson Park,83.0
North Center,143.0
Douglas,232.0
Loop,400.0
Calumet Heights,95.0
Loop,135.0
Belmont Cragin,106.0
Near North Side,97.0
West Town,93.0
South Deering,39.0
Washington Park,45.0
Washington Park,45.0
Norwood Park,81.0
Loop,164.0
Austin,228.0
Near North Side,75.0
North Center,102.0
Austin,75.0
Lake View,1250.0
West Town,87.0
Pullman,179.0
West Ridge,486.0
Lake View,197.0
Near North Side,99.0
Jefferson Park,69.0
Near North Side,115.0
Near North Side,294.0
Portage Park,66.0
Logan Square,209.0
Lower West Side,75.0
North Center,121.0
Washington Park,39.0
South Chicago,35.0
West Town,196.0
Irving Park,65.0
Irving Park,65.0
Mckinley Park,81.0
Englewood,25.0
West Englewood,25.0
West Englewood,35.0
Near North Side,168.0
Near North Side,114.0
Near North Side,140.0
Near North Side,168.0
Near North Side,136.0
Uptown,125.0
Lake View,110.0
Lake View,110.0
Jefferson Park,65.0
North Center,300.0
Jefferson Park,80.0
Woodlawn,99.0
West Town,132.0
Lincoln Park,235.0
Lake View,164.0
Portage Park,360.0
Albany Park,372.0
Near North Side,175.0
West Town,145.0
Lake View,115.0
Edgewater,91.0
West Town,100.0
South Deering,165.0
Jefferson Park,61.0
Lake View,168.0
Lake View,121.0
Avondale,100.0
Morgan Park,110.0
Near North Side,120.0
Logan Square,125.0
Near West Side,84.0
Near West Side,329.0
West Ridge,228.0
West Ridge,205.0
Greater Grand Crossing,218.0
Near North Side,95.0
South Shore,213.0
Bridgeport,600.0
Edgewater,134.0
South Shore,19.0
Near North Side,45.0
Lake View,99.0
Logan Square,79.0
Dunning,107.0
Near West Side,98.0
Lake View,140.0
Lake View,263.0
Lake View,329.0
West Town,106.0
Douglas,55.0
Lincoln Park,59.0
South Shore,26.0
Lake View,113.0
Edgewater,107.0
Humboldt Park,49.0
South Shore,35.0
Woodlawn,98.0
South Shore,121.0
Lincoln Park,59.0
Logan Square,120.0
Lake View,70.0
Hermosa,69.0
Lake View,132.0
Humboldt Park,45.0
Irving Park,90.0
Loop,122.0
Greater Grand Crossing,33.0
West Ridge,90.0
Grand Boulevard,140.0
Lake View,100.0
Logan Square,588.0
Lake View,295.0
New City,32.0
Englewood,179.0
Loop,101.0
Rogers Park,159.0
Rogers Park,163.0
Washington Park,35.0
Lower West Side,385.0
Loop,104.0
Bridgeport,64.0
Near North Side,85.0
Lincoln Park,89.0
Portage Park,125.0
Rogers Park,114.0
Near North Side,294.0
Grand Boulevard,175.0
Loop,103.0
Logan Square,295.0
Mckinley Park,119.0
Jefferson Park,114.0
Grand Boulevard,126.0
South Lawndale,105.0
West Town,328.0
Loop,102.0
Loop,76.0
Lake View,113.0
Lake View,144.0
Near West Side,107.0
Loop,77.0
Near West Side,143.0
West Town,249.0
Edgewater,150.0
Edgewater,399.0
Avondale,97.0
Lake View,106.0
Lincoln Park,60.0
Greater Grand Crossing,320.0
Near North Side,306.0
Near North Side,128.0
Loop,125.0
Loop,124.0
Near North Side,173.0
Avondale,144.0
Near North Side,299.0
Near North Side,212.0
Near North Side,191.0
Near North Side,518.0
Near West Side,349.0
Near North Side,235.0
Near North Side,356.0
South Chicago,20.0
Near North Side,75.0
Woodlawn,52.0
Woodlawn,99.0
Loop,180.0
Loop,122.0
Woodlawn,61.0
Loop,104.0
Near North Side,95.0
Loop,103.0
Loop,123.0
Loop,124.0
Grand Boulevard,194.0
Loop,135.0
South Shore,36.0
Loop,99.0
Grand Boulevard,124.0
Near North Side,850.0
West Town,350.0
Woodlawn,44.0
Near North Side,156.0
Loop,122.0
Loop,129.0
Bridgeport,10.0
Bridgeport,66.0
Bridgeport,103.0
Woodlawn,45.0
Bridgeport,83.0
Bridgeport,75.0
Bridgeport,83.0
Loop,103.0
Loop,122.0
Loop,123.0
Near West Side,103.0
Loop,112.0
Woodlawn,90.0
South Chicago,19.0
Portage Park,195.0
West Town,221.0
Loop,103.0
Loop,124.0
Loop,125.0
Loop,133.0
Loop,143.0
Loop,95.0
Irving Park,61.0
Near South Side,300.0
Hermosa,111.0
Loop,182.0
Loop,103.0
Loop,82.0
Lake View,65.0
Hyde Park,97.0
West Town,363.0
Grand Boulevard,65.0
Loop,126.0
Loop,123.0
Avondale,127.0
Near West Side,60.0
Logan Square,75.0
Lake View,129.0
Loop,117.0
Grand Boulevard,105.0
Near North Side,78.0
Logan Square,98.0
Near North Side,79.0
Near West Side,300.0
Grand Boulevard,264.0
South Chicago,24.0
Bridgeport,10.0
Bridgeport,80.0
Austin,138.0
South Chicago,25.0
Loop,123.0
Loop,125.0
Loop,121.0
Near West Side,104.0
Near West Side,214.0
Loop,102.0
Near North Side,89.0
West Town,119.0
Loop,102.0
Loop,122.0
Loop,103.0
Loop,149.0
Near North Side,139.0
Bridgeport,95.0
North Center,145.0
Lincoln Park,142.0
Loop,129.0
West Town,170.0
West Town,170.0
West Town,190.0
West Town,240.0
West Town,180.0
South Shore,447.0
Edgewater,440.0
West Town,173.0
Kenwood,130.0
Loop,122.0
Near West Side,104.0
Near North Side,141.0
Auburn Gresham,109.0
Lower West Side,41.0
South Shore,56.0
Near West Side,121.0
Near West Side,108.0
Loop,122.0
Near West Side,124.0
Loop,102.0
Near West Side,108.0
Albany Park,69.0
Loop,122.0
Humboldt Park,140.0
Near West Side,124.0
Lincoln Park,200.0
Near West Side,125.0
Humboldt Park,135.0
South Shore,28.0
Loop,182.0
Loop,95.0
Near West Side,111.0
Near West Side,125.0
Near North Side,89.0
Loop,137.0
Loop,123.0
Logan Square,140.0
Near West Side,111.0
Logan Square,116.0
Logan Square,105.0
Logan Square,133.0
Logan Square,94.0
Logan Square,86.0
Uptown,261.0
Uptown,209.0
Lincoln Park,273.0
Near West Side,126.0
Near West Side,125.0
Near West Side,125.0
South Shore,34.0
Woodlawn,45.0
East Garfield Park,40.0
East Garfield Park,55.0
East Garfield Park,50.0
East Garfield Park,60.0
Near West Side,123.0
Lincoln Park,174.0
Near West Side,125.0
Near North Side,106.0
North Lawndale,242.0
North Center,102.0
Logan Square,177.0
West Garfield Park,42.0
Lincoln Park,169.0
Near North Side,280.0
East Garfield Park,36.0
Logan Square,101.0
Lincoln Park,201.0
North Center,271.0
East Garfield Park,54.0
Logan Square,165.0
Lincoln Park,163.0
Lincoln Park,121.0
Lincoln Park,195.0
Norwood Park,35.0
Logan Square,121.0
Dunning,65.0
Bridgeport,55.0
Lincoln Park,112.0
West Town,144.0
West Town,62.0
East Garfield Park,41.0
Near West Side,159.0
Kenwood,52.0
East Garfield Park,31.0
Kenwood,52.0
Kenwood,38.0
Ohare,85.0
Irving Park,46.0
Near North Side,102.0
Edgewater,135.0
North Center,147.0
Lake View,177.0
Greater Grand Crossing,73.0
Lower West Side,118.0
West Town,129.0
Rogers Park,125.0
Lincoln Square,115.0
Lake View,121.0
Lake View,82.0
Belmont Cragin,58.0
Lincoln Park,165.0
North Park,451.0
South Shore,225.0
Lincoln Park,181.0
Edgewater,135.0
Calumet Heights,95.0
North Center,199.0
East Garfield Park,80.0
Near North Side,110.0
Avondale,117.0
Lincoln Square,342.0
Belmont Cragin,150.0
Near North Side,125.0
North Center,493.0
South Shore,28.0
North Center,300.0
Lincoln Park,130.0
Lincoln Park,136.0
Lincoln Park,125.0
Lincoln Park,168.0
Loop,152.0
Near South Side,160.0
Near North Side,712.0
South Shore,28.0
West Town,916.0
Humboldt Park,294.0
Irving Park,90.0
Logan Square,69.0
Near North Side,354.0
Lincoln Park,307.0
Irving Park,125.0
Armour Square,343.0
Loop,93.0
Loop,97.0
Loop,95.0
Loop,109.0
Near North Side,89.0
Near North Side,96.0
Lower West Side,52.0
Avondale,79.0
Lake View,156.0
Near North Side,116.0
Near North Side,89.0
Near North Side,199.0
Ashburn,115.0
West Ridge,133.0
Loop,152.0
North Lawndale,39.0
Montclare,75.0
South Shore,50.0
Humboldt Park,91.0
Logan Square,121.0
Logan Square,1000.0
West Town,125.0
Loop,153.0
Irving Park,390.0
Bridgeport,125.0
Humboldt Park,157.0
Irving Park,45.0
Lower West Side,55.0
Lower West Side,38.0
Woodlawn,42.0
Dunning,70.0
Dunning,56.0
Dunning,56.0
Dunning,73.0
North Center,101.0
Avondale,387.0
Near West Side,94.0
Grand Boulevard,170.0
Greater Grand Crossing,413.0
North Park,41.0
West Town,266.0
Chicago Lawn,112.0
North Park,33.0
Near West Side,59.0
Lower West Side,132.0
Lower West Side,44.0
Lower West Side,44.0
Logan Square,13.0
Humboldt Park,106.0
Lincoln Park,132.0
Lake View,80.0
Hyde Park,175.0
East Garfield Park,44.0
East Garfield Park,59.0
Near West Side,44.0
Douglas,105.0
East Garfield Park,44.0
West Town,131.0
Rogers Park,825.0
Jefferson Park,275.0
Edgewater,275.0
Avondale,107.0
Lake View,70.0
Rogers Park,125.0
Norwood Park,41.0
Rogers Park,142.0
West Town,132.0
Near West Side,148.0
Woodlawn,140.0
Near North Side,217.0
Near North Side,167.0
Logan Square,139.0
North Park,34.0
Near West Side,74.0
Near West Side,140.0
Near West Side,165.0
Near West Side,150.0
Near West Side,140.0
Near West Side,113.0
Near North Side,95.0
Near North Side,95.0
West Garfield Park,45.0
Logan Square,729.0
West Garfield Park,45.0
Lincoln Park,117.0
West Town,55.0
West Garfield Park,45.0
Lower West Side,99.0
Irving Park,110.0
Near West Side,88.0
Near North Side,96.0
Near North Side,93.0
Near West Side,55.0
Near West Side,143.0
Near North Side,96.0
Greater Grand Crossing,159.0
Lake View,101.0
West Town,170.0
Woodlawn,95.0
Avondale,128.0
Humboldt Park,153.0
Logan Square,300.0
Uptown,85.0
West Town,225.0
Near West Side,60.0
West Town,225.0
Irving Park,49.0
Irving Park,52.0
Irving Park,44.0
West Ridge,96.0
Uptown,91.0
Norwood Park,45.0
Avondale,350.0
Lincoln Park,267.0
Kenwood,150.0
Lincoln Square,98.0
Near North Side,115.0
Albany Park,77.0
Albany Park,77.0
Near North Side,292.0
Lake View,479.0
West Town,74.0
West Town,88.0
Humboldt Park,53.0
Portage Park,75.0
Near North Side,105.0
Lake View,671.0
Lake View,144.0
Woodlawn,116.0
East Garfield Park,180.0
Lake View,135.0
Douglas,55.0
Loop,205.0
Loop,171.0
Loop,398.0
Loop,333.0
Loop,169.0
Loop,155.0
Near North Side,89.0
Near North Side,97.0
East Garfield Park,60.0
Lincoln Park,290.0
Lake View,50.0
West Town,112.0
Dunning,75.0
South Shore,127.0
Near North Side,121.0
Avondale,125.0
Garfield Ridge,145.0
Loop,250.0
Near West Side,44.0
Near West Side,44.0
Near West Side,44.0
Near West Side,44.0
Near West Side,44.0
Near West Side,59.0
Near West Side,44.0
West Town,161.0
Rogers Park,49.0
South Shore,31.0
Near North Side,493.0
Rogers Park,99.0
Logan Square,100.0
East Garfield Park,44.0
East Garfield Park,44.0
East Garfield Park,44.0
East Garfield Park,44.0
East Garfield Park,44.0
Grand Boulevard,135.0
Lake View,173.0
Lake View,73.0
Irving Park,75.0
Logan Square,92.0
West Town,653.0
West Town,276.0
Humboldt Park,130.0
Near West Side,300.0
Lake View,250.0
Lincoln Park,400.0
Lower West Side,91.0
Loop,155.0
Near West Side,350.0
Logan Square,545.0
Rogers Park,268.0
Lake View,269.0
Near West Side,44.0
West Town,225.0
Logan Square,250.0
Near North Side,408.0
South Shore,652.0
Auburn Gresham,321.0
Avondale,139.0
Douglas,70.0
Douglas,80.0
Douglas,86.0
Austin,125.0
East Garfield Park,44.0
Douglas,93.0
West Town,550.0
Near North Side,642.0
Humboldt Park,48.0
West Town,200.0
South Lawndale,294.0
Near West Side,59.0
Near West Side,44.0
Near West Side,44.0
Near West Side,44.0
Near West Side,44.0
Near West Side,44.0
Near West Side,44.0
Kenwood,214.0
Lake View,60.0
Lake View,62.0
Lake View,105.0
Lake View,93.0
Lincoln Park,360.0
East Garfield Park,42.0
North Center,61.0
Near South Side,121.0
Near North Side,1600.0
Near South Side,110.0
Lake View,246.0
Lake View,363.0
South Shore,199.0
Lincoln Park,250.0
Near South Side,124.0
Albany Park,55.0
Logan Square,113.0
West Town,333.0
Near North Side,224.0
Uptown,99.0
Near South Side,121.0
Near South Side,128.0
Loop,122.0
Hermosa,130.0
Loop,210.0
Lincoln Park,150.0
North Center,139.0
Bridgeport,140.0
Logan Square,321.0
Logan Square,91.0
Near North Side,110.0
Near North Side,95.0
Lincoln Park,124.0
Lake View,387.0
Near North Side,174.0
Loop,239.0
Loop,176.0
Near North Side,125.0
Near North Side,125.0
Logan Square,309.0
Near North Side,193.0
Edgewater,774.0
Edgewater,174.0
Edgewater,154.0
Edgewater,187.0
Edgewater,174.0
Edgewater,236.0
Hermosa,100.0
West Town,499.0
Near West Side,171.0
Near North Side,125.0
Near North Side,123.0
Near North Side,124.0
Near North Side,106.0
Irving Park,160.0
West Town,138.0
Greater Grand Crossing,150.0
Loop,269.0
Loop,232.0
Loop,287.0
Lake View,129.0
Loop,986.0
Loop,263.0
Loop,149.0
Kenwood,193.0
Near North Side,121.0
Near North Side,118.0
Douglas,84.0
Hermosa,100.0
Woodlawn,135.0
Rogers Park,50.0
Irving Park,125.0
Woodlawn,249.0
Lake View,58.0
Lincoln Square,135.0
Near West Side,797.0
Near North Side,116.0
Near North Side,98.0
Near North Side,100.0
Austin,124.0
Loop,180.0
Near North Side,264.0
Near North Side,120.0
Near North Side,252.0
Loop,256.0
Near North Side,147.0
Near North Side,99.0
Near West Side,492.0
Near North Side,207.0
Near North Side,220.0
Douglas,53.0
Lake View,200.0
Lincoln Park,206.0
Near North Side,482.0
Loop,276.0
Near North Side,277.0
Near North Side,239.0
West Town,158.0
Near North Side,100.0
Douglas,79.0
Lower West Side,135.0
Loop,119.0
Near West Side,166.0
Near West Side,199.0
Loop,177.0
Near North Side,230.0
Loop,302.0
Avondale,79.0
West Ridge,149.0
Lake View,490.0
Near North Side,140.0
Loop,130.0
Near North Side,105.0
Near North Side,533.0
Near West Side,145.0
Near North Side,125.0
Near West Side,230.0
Douglas,400.0
Lake View,110.0
Uptown,75.0
Lake View,112.0
Near North Side,231.0
Near North Side,277.0
Rogers Park,79.0
Near North Side,101.0
East Garfield Park,44.0
East Garfield Park,44.0
East Garfield Park,44.0
Near West Side,44.0
Lower West Side,44.0
Lower West Side,44.0
Lower West Side,59.0
Lincoln Park,284.0
West Town,163.0
West Town,82.0
Uptown,88.0
North Center,230.0
North Center,184.0
Lower West Side,127.0
Irving Park,54.0
Irving Park,47.0
North Center,165.0
East Garfield Park,82.0
Loop,350.0
Near North Side,190.0
Loop,401.0
Near West Side,310.0
Armour Square,207.0
Loop,276.0
Albany Park,89.0
Lincoln Square,47.0
Mckinley Park,73.0
Irving Park,222.0
Lincoln Park,238.0
Dunning,140.0
Near North Side,254.0
Lower West Side,120.0
Near South Side,121.0
West Town,85.0
Lake View,98.0
Near West Side,178.0
Lincoln Park,89.0
Logan Square,161.0
Near North Side,680.0
Logan Square,140.0
Lincoln Park,614.0
Lake View,75.0
Norwood Park,33.0
Grand Boulevard,96.0
Near West Side,99.0
Logan Square,156.0
Portage Park,84.0
Lake View,77.0
Grand Boulevard,186.0
Lake View,493.0
North Center,205.0
Lake View,63.0
Lake View,66.0
Logan Square,158.0
Loop,150.0
Near North Side,117.0
Woodlawn,45.0
Near North Side,148.0
Washington Park,175.0
West Town,644.0
Lake View,78.0
Lake View,821.0
West Town,264.0
Near North Side,102.0
West Ridge,61.0
Logan Square,130.0
Loop,177.0
Near North Side,698.0
Norwood Park,36.0
Hyde Park,69.0
Norwood Park,33.0
Logan Square,160.0
Lake View,112.0
Lake View,111.0
Near North Side,120.0
Near North Side,152.0
Rogers Park,191.0
West Town,253.0
Near North Side,377.0
Avondale,155.0
Lake View,65.0
Near North Side,61.0
Belmont Cragin,220.0
Norwood Park,33.0
Humboldt Park,33.0
Near North Side,294.0
Humboldt Park,33.0
Humboldt Park,37.0
Near North Side,116.0
Oakland,169.0
Near North Side,147.0
Near North Side,217.0
Lincoln Park,417.0
Near North Side,277.0
Near North Side,270.0
Near North Side,270.0
Uptown,129.0
South Chicago,150.0
East Garfield Park,23.0
Near North Side,102.0
Lake View,139.0
Lake View,159.0
Logan Square,112.0
Irving Park,90.0
Near West Side,70.0
Portage Park,193.0
West Town,125.0
Kenwood,30.0
Near West Side,83.0
West Town,50.0
West Town,50.0
West Town,55.0
West Town,50.0
West Town,40.0
West Town,40.0
West Town,40.0
West Town,55.0
West Town,50.0
West Town,55.0
West Town,50.0
West Town,40.0
West Town,40.0
West Town,50.0
West Town,50.0
West Town,55.0
Uptown,114.0
Lake View,58.0
Uptown,66.0
Lower West Side,80.0
Lake View,81.0
Near South Side,1000.0
Loop,114.0
Uptown,61.0
Woodlawn,45.0
Avondale,242.0
Lake View,256.0
Humboldt Park,149.0
Douglas,135.0
Loop,248.0
Woodlawn,45.0
Morgan Park,229.0
Near South Side,119.0
Near North Side,78.0
Lincoln Square,78.0
Loop,222.0
Grand Boulevard,110.0
Logan Square,129.0
West Town,50.0
Near North Side,126.0
Lower West Side,55.0
Logan Square,25.0
Logan Square,23.0
Logan Square,36.0
Logan Square,23.0
Logan Square,23.0
Edgewater,151.0
Woodlawn,83.0
East Garfield Park,64.0
Lincoln Square,73.0
Lincoln Park,380.0
West Town,1352.0
North Center,200.0
Lake View,281.0
Lincoln Park,88.0
Lake View,314.0
Austin,150.0
Mckinley Park,30.0
Mckinley Park,35.0
Near South Side,111.0
West Englewood,55.0
Loop,239.0
Loop,245.0
West Town,40.0
West Town,40.0
West Town,40.0
West Town,42.0
West Town,50.0
Near North Side,277.0
Lincoln Park,114.0
Near West Side,44.0
Near West Side,44.0
Loop,99.0
Logan Square,71.0
North Center,189.0
Near West Side,100.0
Near West Side,99.0
Near West Side,139.0
Near West Side,92.0
Near North Side,119.0
Albany Park,99.0
Uptown,669.0
West Town,95.0
West Town,185.0
Mckinley Park,30.0
Greater Grand Crossing,65.0
Greater Grand Crossing,66.0
Loop,100.0
Loop,115.0
East Garfield Park,190.0
Brighton Park,50.0
Near North Side,213.0
Uptown,64.0
Lincoln Park,235.0
Lincoln Park,162.0
Lincoln Park,193.0
North Center,171.0
Montclare,65.0
Lower West Side,80.0
Loop,215.0
Loop,203.0
Logan Square,261.0
Mckinley Park,1000.0
Avondale,185.0
Logan Square,121.0
Portage Park,158.0
Lake View,113.0
Near North Side,179.0
Logan Square,199.0
Near North Side,157.0
Near North Side,163.0
Near West Side,145.0
Greater Grand Crossing,77.0
Pullman,124.0
Logan Square,252.0
Bridgeport,664.0
Irving Park,219.0
West Town,89.0
West Town,303.0
West Garfield Park,960.0
Washington Park,119.0
Loop,145.0
West Town,79.0
Near North Side,101.0
Near North Side,130.0
Near North Side,103.0
Lake View,192.0
Austin,10000.0
Near North Side,378.0
Near North Side,207.0
Near North Side,191.0
Near West Side,91.0
South Shore,60.0
Calumet Heights,95.0
Avondale,83.0
Logan Square,120.0
Lake View,108.0
Lake View,61.0
Oakland,67.0
Avondale,68.0
Austin,99.0
Austin,250.0
West Town,2643.0
Lower West Side,145.0
Lower West Side,44.0
Near North Side,194.0
Portage Park,139.0
Lincoln Park,257.0
Jefferson Park,90.0
Lincoln Park,155.0
Jefferson Park,40.0
Lake View,300.0
Near North Side,103.0
Greater Grand Crossing,299.0
Austin,129.0
Near West Side,85.0
West Ridge,149.0
North Center,141.0
Near South Side,148.0
Edgewater,270.0
Avondale,99.0
Avondale,108.0
West Town,108.0
Douglas,171.0
Logan Square,60.0
Near North Side,102.0
Morgan Park,140.0
Near North Side,99.0
Near West Side,35.0
Greater Grand Crossing,55.0
Near West Side,32.0
Grand Boulevard,67.0
Lincoln Park,196.0
Near North Side,102.0
East Garfield Park,40.0
West Town,399.0
Irving Park,242.0
Irving Park,36.0
Loop,115.0
Belmont Cragin,92.0
East Garfield Park,44.0
East Garfield Park,44.0
Lake View,189.0
Irving Park,37.0
South Shore,45.0
Lower West Side,49.0
Near West Side,90.0
Near West Side,27.0
North Park,404.0
Near West Side,300.0
Near West Side,27.0
Lincoln Park,120.0
Washington Park,363.0
Jefferson Park,118.0
Douglas,395.0
Kenwood,125.0
Logan Square,77.0
Uptown,205.0
Near West Side,115.0
Near West Side,83.0
East Garfield Park,126.0
West Town,82.0
Lincoln Square,76.0
West Town,189.0
Hyde Park,500.0
West Town,210.0
Near South Side,113.0
Near South Side,128.0
West Town,128.0
North Lawndale,216.0
West Garfield Park,45.0
Loop,320.0
Lake View,205.0
West Ridge,142.0
Logan Square,33.0
Logan Square,23.0
Loop,198.0
Lincoln Park,99.0
North Center,350.0
South Shore,92.0
Chatham,244.0
Grand Boulevard,202.0
Belmont Cragin,98.0
Grand Boulevard,170.0
Lake View,107.0
Loop,226.0
South Shore,72.0
Belmont Cragin,24.0
Near North Side,165.0
Grand Boulevard,400.0
Near North Side,276.0
Albany Park,108.0
Lower West Side,162.0
Lake View,164.0
Lake View,95.0
Lake View,482.0
Uptown,255.0
Lower West Side,151.0
South Shore,54.0
Rogers Park,53.0
Near West Side,43.0
Near West Side,196.0
Irving Park,131.0
Bridgeport,68.0
South Chicago,250.0
Grand Boulevard,200.0
Near West Side,123.0
Grand Boulevard,250.0
Near North Side,190.0
South Shore,66.0
Dunning,118.0
West Town,228.0
Edgewater,200.0
Near West Side,119.0
Lincoln Park,98.0
Forest Glen,101.0
West Town,404.0
West Town,450.0
East Garfield Park,15.0
South Shore,283.0
Lower West Side,120.0
North Center,120.0
Belmont Cragin,30.0
Lincoln Square,253.0
Lake View,69.0
Rogers Park,95.0
Edgewater,80.0
Near North Side,100.0
Lincoln Park,163.0
West Town,311.0
Near South Side,300.0
Hyde Park,159.0
Avondale,156.0
Loop,195.0
Near West Side,63.0
Montclare,79.0
Austin,612.0
Rogers Park,81.0
Lincoln Square,205.0
Woodlawn,135.0
Uptown,69.0
West Ridge,250.0
Rogers Park,77.0
East Garfield Park,39.0
West Englewood,41.0
Washington Park,76.0
Washington Heights,73.0
Near North Side,185.0
West Town,95.0
Uptown,62.0
Uptown,66.0
Uptown,60.0
Jefferson Park,200.0
New City,63.0
Rogers Park,70.0
Lincoln Park,250.0
West Town,89.0
Near North Side,103.0
Near West Side,129.0
Lake View,144.0
Loop,259.0
South Lawndale,52.0
North Lawndale,52.0
South Lawndale,52.0
Near West Side,119.0
South Lawndale,52.0
Near North Side,95.0
Lower West Side,555.0
South Lawndale,52.0
Portage Park,85.0
East Garfield Park,36.0
Near South Side,386.0
Loop,243.0
Kenwood,119.0
Loop,257.0
Lower West Side,296.0
Rogers Park,90.0
Roseland,185.0
Logan Square,110.0
Irving Park,109.0
Lake View,81.0
East Garfield Park,37.0
Lincoln Park,638.0
West Town,109.0
Logan Square,150.0
Edgewater,300.0
Lincoln Park,87.0
Woodlawn,136.0
West Town,544.0
Near North Side,147.0
Near West Side,119.0
Lincoln Park,91.0
Norwood Park,175.0
Lake View,275.0
South Shore,65.0
Avondale,100.0
Washington Heights,165.0
Gage Park,81.0
Hyde Park,131.0
Rogers Park,392.0
South Chicago,259.0
Grand Boulevard,108.0
West Town,190.0
West Town,95.0
West Town,95.0
Logan Square,114.0
Lincoln Park,114.0
Lower West Side,45.0
Irving Park,106.0
Lower West Side,34.0
Washington Park,150.0
Near West Side,109.0
Irving Park,95.0
West Town,139.0
Lake View,113.0
West Town,129.0
Near North Side,99.0
Lower West Side,125.0
Avondale,122.0
West Town,214.0
Lincoln Park,181.0
Washington Heights,150.0
Lincoln Park,135.0
Lincoln Park,150.0
Near North Side,100.0
Logan Square,103.0
Auburn Gresham,166.0
Near North Side,100.0
Avondale,115.0
Lake View,116.0
West Town,58.0
West Town,129.0
Armour Square,27.0
Armour Square,27.0
Armour Square,27.0
Albany Park,105.0
Near North Side,277.0
Near West Side,119.0
South Shore,75.0
West Town,220.0
Woodlawn,41.0
Near North Side,101.0
Loop,237.0
Logan Square,102.0
West Lawn,70.0
Near North Side,341.0
Auburn Gresham,156.0
West Town,150.0
West Town,553.0
Austin,557.0
Near North Side,277.0
West Town,181.0
West Town,176.0
Lake View,103.0
Loop,117.0
Near North Side,217.0
