neighbourhood_cleansed,price
Lincoln Square,80.0
Lake View,139.0
Garfield Ridge,48.0
Lower West Side,68.0
West Town,360.0
Lower West Side,97.0
Lake View,184.0
Austin,168.0
Logan Square,115.0
Lake View,299.0
Lake View,143.0
North Center,112.0
Avondale,164.0
Kenwood,304.0
Near North Side,175.0
Logan Square,89.0
Hermosa,70.0
Uptown,999.0
Logan Square,139.0
Rogers Park,197.0
Avondale,40.0
East Garfield Park,33.0
Garfield Ridge,37.0
North Lawndale,59.0
Near West Side,50.0
Irving Park,109.0
Near West Side,59.0
Near North Side,100.0
Woodlawn,62.0
Woodlawn,69.0
Woodlawn,69.0
East Garfield Park,34.0
Woodlawn,44.0
Woodlawn,38.0
Irving Park,69.0
Woodlawn,111.0
Edgewater,82.0
Lake View,125.0
West Town,126.0
East Garfield Park,32.0
West Ridge,74.0
West Town,59.0
West Town,81.0
Near North Side,170.0
Avondale,99.0
South Shore,161.0
West Town,70.0
Near West Side,114.0
Lincoln Square,64.0
Logan Square,160.0
Lincoln Park,145.0
Lower West Side,300.0
Lake View,194.0
Grand Boulevard,85.0
East Garfield Park,70.0
East Garfield Park,32.0
Douglas,1500.0
Irving Park,105.0
Kenwood,365.0
Lake View,165.0
Humboldt Park,76.0
Near West Side,55.0
Lower West Side,130.0
Loop,170.0
Armour Square,70.0
Lake View,119.0
Hyde Park,200.0
Portage Park,145.0
West Town,184.0
Lincoln Park,149.0
North Center,213.0
Lake View,85.0
West Town,151.0
North Center,155.0
Portage Park,390.0
West Town,555.0
Hyde Park,355.0
Armour Square,69.0
Near West Side,54.0
Near West Side,55.0
Irving Park,349.0
Armour Square,69.0
Uptown,50.0
Edgewater,105.0
Edgewater,134.0
Near North Side,247.0
Logan Square,110.0
Lincoln Square,329.0
Irving Park,165.0
Near South Side,210.0
Hyde Park,95.0
Lake View,164.0
Lake View,162.0
Lincoln Park,78.0
Armour Square,69.0
Near North Side,69.0
West Town,79.0
Lincoln Park,388.0
Rogers Park,35.0
West Town,69.0
Belmont Cragin,364.0
Lower West Side,27.0
Logan Square,55.0
Lincoln Park,236.0
West Town,85.0
Near North Side,160.0
Lake View,189.0
Irving Park,44.0
Near West Side,199.0
Logan Square,197.0
Near South Side,140.0
North Center,141.0
Near North Side,298.0
Lake View,133.0
West Town,99.0
West Town,177.0
Logan Square,264.0
Logan Square,218.0
East Garfield Park,33.0
Greater Grand Crossing,39.0
Near West Side,97.0
East Garfield Park,32.0
Logan Square,50.0
Lincoln Park,84.0
